# f[Hz], H(x1/x0), H(xpl/x0)
7.781982421875000000e-01 1.862787460653843874e-01 1.187150064010317543e-02
7.812500000000000000e-01 1.866989964033739513e-01 1.160416563588725913e-02
7.843017578125000000e-01 1.870766653345179442e-01 1.134523746325577336e-02
7.873535156250000000e-01 1.874125463271678338e-01 1.109441983088200849e-02
7.904052734375000000e-01 1.877074307788171859e-01 1.085142942429455012e-02
7.934570312500000000e-01 1.879621076106897937e-01 1.061599524444663441e-02
7.965087890625000000e-01 1.881773628457671099e-01 1.038785798658449326e-02
7.995605468750000000e-01 1.883539791729658130e-01 1.016676945672404658e-02
8.026123046875000000e-01 1.884927355000308724e-01 9.952492023247130198e-03
8.056640625000000000e-01 1.885944064975702272e-01 9.744798101313264030e-03
8.087158203125000000e-01 1.886597621365120048e-01 9.543469667953712043e-03
8.117675781250000000e-01 1.886895672211220121e-01 9.348297805870929220e-03
8.148193359375000000e-01 1.886845809195605017e-01 9.159082274111865832e-03
8.178710937500000000e-01 1.886455562938172681e-01 8.975631103916222389e-03
8.209228515625000000e-01 1.885732398307042867e-01 8.797760218164762253e-03
8.239746093750000000e-01 1.884683709754370051e-01 8.625293072966040350e-03
8.270263671875000000e-01 1.883316816691778806e-01 8.458060320026355994e-03
8.300781250000000000e-01 1.881638958917697946e-01 8.295899488544793837e-03
8.331298828125000000e-01 1.879657292107271283e-01 8.138654685466168576e-03
8.361816406250000000e-01 1.877378883374038743e-01 7.986176313009589814e-03
8.392333984375000000e-01 1.874810706911115565e-01 7.838320802468018433e-03
8.422851562500000000e-01 1.871959639718018265e-01 7.694950363348236795e-03
8.453369140625000000e-01 1.868832457417877735e-01 7.555932746988030906e-03
8.483886718750000000e-01 1.865435830168273301e-01 7.421141023852050565e-03
8.514404296875000000e-01 1.861776318667497376e-01 7.290453373767130651e-03
8.544921875000000000e-01 1.857860370256574356e-01 7.163752888414071270e-03
8.575439453125000000e-01 1.853694315115974323e-01 7.040927385445774900e-03
8.605957031250000000e-01 1.849284362554502736e-01 6.921869233651466863e-03
8.636474609375000000e-01 1.844636597386451193e-01 6.806475188633700005e-03
8.666992187500000000e-01 1.839756976391639098e-01 6.694646238509661951e-03
8.697509765625000000e-01 1.834651324851614418e-01 6.586287459190994821e-03
8.728027343750000000e-01 1.829325333153744571e-01 6.481307878836668757e-03
8.758544921875000000e-01 1.823784553453546842e-01 6.379620351112937245e-03
8.789062500000000000e-01 1.818034396384083651e-01 6.281141436931928640e-03
8.819580078125000000e-01 1.812080127799682860e-01 6.185791294376761194e-03
8.850097656250000000e-01 1.805926865539687898e-01 6.093493576557334167e-03
8.880615234375000000e-01 1.799579576196239650e-01 6.004175337175149396e-03
8.911132812500000000e-01 1.793043071868382909e-01 5.917766943610896536e-03
8.941650390625000000e-01 1.786322006882845037e-01 5.834201997382396955e-03
8.972167968750000000e-01 1.779420874459953783e-01 5.753417261855415209e-03
9.002685546875000000e-01 1.772344003300903859e-01 5.675352597124451275e-03
9.033203125000000000e-01 1.765095554070327255e-01 5.599950902016479111e-03
9.063720703125000000e-01 1.757679515745528276e-01 5.527158063206843303e-03
9.094238281250000000e-01 1.750099701800975349e-01 5.456922911474654768e-03
9.124755859375000000e-01 1.742359746193516690e-01 5.389197185164143651e-03
9.155273437500000000e-01 1.734463099110360451e-01 5.323935500960331503e-03
9.185791015625000000e-01 1.726413022438003930e-01 5.261095332131148460e-03
9.216308593750000000e-01 1.718212584905992601e-01 5.200636994435067079e-03
9.246826171875000000e-01 1.709864656854521159e-01 5.142523639944079905e-03
9.277343750000000000e-01 1.701371904569413951e-01 5.086721259086130799e-03
9.307861328125000000e-01 1.692736784121799953e-01 5.033198691270448881e-03
9.338378906250000000e-01 1.683961534642743063e-01 4.981927644524477769e-03
9.368896484375000000e-01 1.675048170955034388e-01 4.932882724641833930e-03
9.399414062500000000e-01 1.665998475475153895e-01 4.886041474419766314e-03
9.429931640625000000e-01 1.656813989287923838e-01 4.841384423651616184e-03
9.460449218750000000e-01 1.647496002284255801e-01 4.798895150636494668e-03
9.490966796875000000e-01 1.638045542238544539e-01 4.758560356076657963e-03
9.521484375000000000e-01 1.628463362686293492e-01 4.720369950353972034e-03
9.552001953125000000e-01 1.618749929444033286e-01 4.684317155312367476e-03
9.582519531250000000e-01 1.608905405592303273e-01 4.650398621826009986e-03
9.613037109375000000e-01 1.598929634717657089e-01 4.618614564604907151e-03
9.643554687500000000e-01 1.588822122180926499e-01 4.588968915883820734e-03
9.674072265625000000e-01 1.578582014145456514e-01 4.561469499860684382e-03
9.704589843750000000e-01 1.568208074059981860e-01 4.536128229999629967e-03
9.735107421875000000e-01 1.557698656245129210e-01 4.512961331597081620e-03
9.765625000000000000e-01 1.547051676179006519e-01 4.491989592330955169e-03
9.796142578125000000e-01 1.536264577014470056e-01 4.473238643879258111e-03
9.826660156250000000e-01 1.525334291786703822e-01 4.456739278111355486e-03
9.857177734375000000e-01 1.514257200682377624e-01 4.442527801830606186e-03
9.887695312500000000e-01 1.503029082638476233e-01 4.430646434589180505e-03
9.918212890625000000e-01 1.491645060416410262e-01 4.421143754713943025e-03
9.948730468750000000e-01 1.480099538151563310e-01 4.414075199387472621e-03
9.979248046875000000e-01 1.468386130205124318e-01 4.409503625431190725e-03
1.000976562500000000e+00 1.456497579937926778e-01 4.407499938351830751e-03
1.004028320312500000e+00 1.444425666778215711e-01 4.408143798250862763e-03
1.007080078125000000e+00 1.432161099657567882e-01 4.411524412372638641e-03
1.010131835937500000e+00 1.419693394531037212e-01 4.417741425394276431e-03
1.013183593750000000e+00 1.407010733265548763e-01 4.426905920049741330e-03
1.016235351562500000e+00 1.394099800657911947e-01 4.439141542339382351e-03
1.019287109375000000e+00 1.380945595710470764e-01 4.454585767404767825e-03
1.022338867187500000e+00 1.367531212522881123e-01 4.473391324133742589e-03
1.025390625000000000e+00 1.353837585221883966e-01 4.495727798670921642e-03
1.028442382812500000e+00 1.339843190208882540e-01 4.521783439178635872e-03
1.031494140625000000e+00 1.325523697610641316e-01 4.551767186310500847e-03
1.034545898437500000e+00 1.310851562114143387e-01 4.585910955733241146e-03
1.037597656250000000e+00 1.295795541283160934e-01 4.624472200359162552e-03
1.040649414062500000e+00 1.280320126908598144e-01 4.667736780251820206e-03
1.043701171875000000e+00 1.264384871840002755e-01 4.716022166700645744e-03
1.046752929687500000e+00 1.247943590972203920e-01 4.769681002591447463e-03
1.049804687500000000e+00 1.230943410500907470e-01 4.829105032203053795e-03
1.052856445312500000e+00 1.213323634101224208e-01 4.894729397325370962e-03
1.055908203125000000e+00 1.195014388240294156e-01 4.967037269187328345e-03
1.058959960937500000e+00 1.175935001406016450e-01 5.046564741191722492e-03
1.062011718750000000e+00 1.155992063788335161e-01 5.133905837019324750e-03
1.065063476562500000e+00 1.135077105399399794e-01 5.229717379044505898e-03
1.068115234375000000e+00 1.113063822923678059e-01 5.334723293479538830e-03
1.071166992187500000e+00 1.089804781097482855e-01 5.449717672025858328e-03
1.074218750000000000e+00 1.065127517628404324e-01 5.575565522119773840e-03
1.077270507812500000e+00 1.038829999926784431e-01 5.713199556765607978e-03
1.080322265625000000e+00 1.010675432429817278e-01 5.863610511596306120e-03
1.083374023437500000e+00 9.803865224063625095e-02 6.027827208344700358e-03
1.086425781250000000e+00 9.476395287663716416e-02 6.206880748999134105e-03
1.089477539062500000e+00 9.120588299114554265e-02 6.401744630824062268e-03
1.092529296875000000e+00 8.732135093097354028e-02 6.613239033822279969e-03
1.095581054687500000e+00 8.306188529345651106e-02 6.841882983521611894e-03
1.098632812500000000e+00 7.837481971550812332e-02 7.087672853764120755e-03
1.101684570312500000e+00 7.320652345645220493e-02 7.349761009918271727e-03
1.104736328125000000e+00 6.750956191447754495e-02 7.626007538313288661e-03
1.107788085937500000e+00 6.125736646420887332e-02 7.912387775056815495e-03
1.110839843750000000e+00 5.447347091711415845e-02 8.202270873523242675e-03
1.113891601562500000e+00 4.728991218502572036e-02 8.485657210613627849e-03
1.116943359375000000e+00 4.006531890378157990e-02 8.748589872393377348e-03
1.119995117187500000e+00 3.361248418368698726e-02 8.973126321307400496e-03
1.123046875000000000e+00 2.948208714662863689e-02 9.138389566774714201e-03
1.126098632812500000e+00 2.955922642411589960e-02 9.223131591455827755e-03
1.129150390625000000e+00 3.419269992346436748e-02 9.209726527989847700e-03
1.132202148437500000e+00 4.174917873255987871e-02 9.088595962117383686e-03
1.135253906250000000e+00 5.041509048084026612e-02 8.861296695154084746e-03
1.138305664062500000e+00 5.900114493926871678e-02 8.540692215442893462e-03
1.141357421875000000e+00 6.683878319087371844e-02 8.147985449616305942e-03
1.144409179687500000e+00 7.360321898822572151e-02 7.707977580397775384e-03
1.147460937500000000e+00 7.919347400730844533e-02 7.244518985497250783e-03
1.150512695312500000e+00 8.364627050217272874e-02 6.777499700748443844e-03
1.153564453125000000e+00 8.707218451841916562e-02 6.321656328726672769e-03
1.156616210937500000e+00 8.961149914442419206e-02 5.886736644917517011e-03
1.159667968750000000e+00 9.140706075793531005e-02 5.478369076903038051e-03
1.162719726562500000e+00 9.258993885512314947e-02 5.099125744670532194e-03
1.165771484375000000e+00 9.327349430889446402e-02 4.749492920737946947e-03
1.168823242187500000e+00 9.355230756332585940e-02 4.428639196945841419e-03
1.171875000000000000e+00 9.350354611495827195e-02 4.134972069419923582e-03
1.174926757812500000e+00 9.318931268679626900e-02 3.866516444317971268e-03
